employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
DOORDASH INC,1317,21,5,2023,CA,SAN FRANCISCO,99.1,1338,0.984,,,,,
AIRBNB INC,1106,16,5,2023,CA,SAN FRANCISCO,99.1,1122,0.986,,,,,
DALLAS INDEPENDENT SCHOOL DISTRICT,913,10,5,2023,TX,DALLAS,99.1,923,0.989,DALLAS INDEPENDENT SCHOOL DISTRICT,"Elementary Bilingual Teacher, High School Math Teacher, Middle School Science Teacher, High School Science Teacher, Middle School Special Education Teacher",65000.0,73.0,Education
PAYPAL INC,4275,65,5,2023,CA,SAN JOSE,99.1,4340,0.985,,,,,
SERVICENOW INC,2030,31,5,2023,CA,SANTA CLARA,99.1,2061,0.985,,,,,
EQUIFAX INC,875,6,5,2023,GA,ATLANTA,99.1,881,0.993,,,,,
MAYO CLINIC,1636,26,5,2023,MN,ROCHESTER,99.1,1662,0.984,MAYO CLINIC,"Research Fellow, Research Associate, Consultant, Medical Technologist, Medical Laboratory Scientist",79861.0,102.0,Healthcare
MEDTRONIC INC,1171,18,5,2023,MN,MINNEAPOLIS,99.1,1189,0.985,,,,,
GOLDMAN SACHS SERVICES LLC,1809,28,5,2023,NJ,JERSEY CITY,99.1,1837,0.985,GOLDMAN SACHS SERVICES LLC,"Vice President, Associate, Analyst, Vice President , Analyst ",145500.0,66.0,Software & IT
T MOBILE USA INC,2043,35,5,2023,WA,BELLEVUE,99.0,2078,0.983,,,,,
GOOGLE LLC,23224,404,5,2023,CA,MOUNTAIN VIEW,99.0,23628,0.983,GOOGLE LLC,"Software Engineer, Program Manager, Product Manager, Consultant, Data Scientist",181130.0,1408.0,Software & IT
CHARTER COMMUNICATIONS INC,1921,33,5,2023,MO,SAINT LOUIS,99.0,1954,0.983,,,,,
VMWARE INC,3734,63,5,2023,CA,PALO ALTO,99.0,3797,0.983,,,,,
AUTODESK INC,1031,18,5,2023,CA,SAN RAFAEL,99.0,1049,0.983,,,,,
UNIVERSITY OF FLORIDA,932,13,5,2023,FL,GAINESVILLE,99.0,945,0.986,UNIVERSITY OF FLORIDA,"Assistant Professor, Clinical Assistant Professor, Postdoctoral Associate, Research Assistant Professor, Biological Scientist Iii",100000.0,57.0,Education
COMCAST CABLE COMMUNICATIONS LLC,2605,46,5,2023,PA,PHILADELPHIA,99.0,2651,0.983,,,,,
CERNER CORPORATION,1556,26,5,2023,MO,NORTH KANSAS CITY,99.0,1582,0.984,,,,,
JUNIPER NETWORKS INC,1225,23,5,2023,CA,SUNNYVALE,98.9,1248,0.982,,,,,
AETNA RESOURCES LLC,1383,27,5,2023,RI,WOONSOCKET,98.9,1410,0.981,AETNA RESOURCES LLC,"Data Scientist, Data Engineer, Digital Sr Dev Engineer I, Consultant, Solutions Architect",135239.0,77.0,Software & IT
ORACLE AMERICA INC,8446,152,5,2023,TX,AUSTIN,98.9,8598,0.982,,,,,
SYNECHRON INC,3280,63,5,2023,NY,NEW YORK,98.9,3343,0.981,SYNECHRON INC,"Associate Specialist - Technology, Lead - Technology, Lead - Quality Control, Assistant Manager - Technology, Specialist - Technology",115000.0,31.0,Software & IT
FIDELITY INVESTMENTS,5523,104,5,2023,MA,BOSTON,98.9,5627,0.982,,,,,
CATERPILLAR INC,851,8,5,2023,IL,PEORIA,98.9,859,0.991,CATERPILLAR INC,"Embedded Sw Senior Engineer, Lead Digital Tech Support Engineer, Controls Systems Senior Engineer, Engineering Specialist - Design, Senior Engineer - Performance / Simulati",122470.0,11.0,Software & IT
FIS MANAGEMENT SERVICES LLC,935,14,5,2023,NY,NEW YORK,98.9,949,0.985,,,,,
THE UNIVERSITY OF CHICAGO,971,17,5,2023,IL,CHICAGO,98.9,988,0.983,THE UNIVERSITY OF CHICAGO,"Postdoctoral Scholar, Research Professional, Research Analyst, Staff Scientist, Computational Scientist",75000.0,65.0,Data & Research
TESLA INC,3772,71,5,2023,CA,PALO ALTO,98.9,3843,0.982,,,,,
LYFT INC,1091,23,5,2023,CA,SAN FRANCISCO,98.8,1114,0.979,,,,,
WESTERN DIGITAL TECHNOLOGIES INC,865,11,5,2023,CA,SAN JOSE,98.8,876,0.987,,,,,
TWILIO INC,842,8,5,2023,CA,SAN FRANCISCO,98.8,850,0.991,,,,,
ATOS SYNTEL INC,3874,82,5,2023,MI,TROY,98.8,3956,0.979,ATOS SYNTEL INC,"Software Engineer, Technical Lead, Test Lead, Solutions Architect, Project Manager",95860.0,176.0,Software & IT
CGI TECHNOLOGIES AND SOLUTIONS INC,3616,76,5,2023,VA,FAIRFAX,98.8,3692,0.979,,,,,
SYNOPSYS INC,1523,30,5,2023,CA,MOUNTAIN VIEW,98.8,1553,0.981,,,,,
UT SOUTHWESTERN MEDICAL CENTER,933,16,5,2023,TX,DALLAS,98.8,949,0.983,UT SOUTHWESTERN MEDICAL CENTER,"Instructor, Research Scientist, Assistant Professor , Postdoctoral Researcher, Assistant Professor",70000.0,63.0,Data & Research
CLEVELAND CLINIC,950,18,5,2023,OH,CLEVELAND,98.8,968,0.981,CLEVELAND CLINIC,"Research Scientist, Physician, Associate Staff, Cardiovascular Medicine, Associate Staff, Department Of Gastroent, Ebi Database Developer Ii",93590.0,32.0,Healthcare
MICROSOFT CORPORATION,22728,470,5,2023,WA,REDMOND,98.8,23198,0.98,MICROSOFT CORPORATION,"Software Engineer, Product Manager, Program Manager, Data Science, Technical Support Engineer",161408.0,1912.0,Software & IT
BLOOMBERG LP,2942,58,5,2023,NY,NEW YORK,98.8,3000,0.981,,,,,
NORTHWESTERN UNIVERSITY,850,10,5,2023,IL,EVANSTON,98.8,860,0.988,NORTHWESTERN UNIVERSITY,"Postdoctoral Scholar, Research Associate, Postdoctoral Fellow, Research Assistant Professor, Postdoctoral Scholar ",67962.0,34.0,Data & Research
CITIBANK NA,2911,58,5,2023,NY,NEW YORK,98.8,2969,0.98,,,,,
NETFLIX INC,904,15,5,2023,CA,LOS GATOS,98.7,919,0.984,,,,,
CUMMINS INC,3096,66,5,2023,TN,NASHVILLE,98.7,3162,0.979,,,,,
CVS PHARMACY INC,1207,27,5,2023,RI,WOONSOCKET,98.7,1234,0.978,,,,,
MORGAN STANLEY SERVICES GROUP INC,2200,47,5,2023,NY,NEW YORK,98.7,2247,0.979,,,,,
ZILLOW INC,956,20,5,2023,WA,SEATTLE,98.7,976,0.98,,,,,
THE MATHWORKS INC,1898,42,5,2023,MA,NATICK,98.7,1940,0.978,,,,,
UBS BUSINESS SOLUTIONS US LLC,1000,23,5,2023,TN,NASHVILLE,98.7,1023,0.978,UBS BUSINESS SOLUTIONS US LLC,"Software Engineer, Authorized Officer, Tech Support Analyst, Data Engineer, Employee, Tech Engineer 001745, Associate Director, Tech Engineer 000082",134400.0,44.0,Software & IT
MICRON TECHNOLOGY INC,1599,35,5,2023,ID,BOISE,98.7,1634,0.979,,,,,
HEWLETT PACKARD ENTERPRISE COMPANY,1662,39,5,2023,TX,HOUSTON,98.6,1701,0.977,HEWLETT PACKARD ENTERPRISE COMPANY,"Software Engineer, Consultant, Sr. Cloud Developer, It Developer/Engineer, Product Manager",153320.0,85.0,Software & IT
ERICSSON INC,1002,24,5,2023,TX,PLANO,98.6,1026,0.977,,,,,
AMGEN INC,1495,37,5,2023,CA,THOUSAND OAKS,98.6,1532,0.976,,,,,
QUALCOMM TECHNOLOGIES INC,6087,148,5,2023,CA,SAN DIEGO,98.6,6235,0.976,,,,,
AKAMAI TECHNOLOGIES INC,1056,26,5,2023,MA,CAMBRIDGE,98.6,1082,0.976,,,,,
THE PENNSYLVANIA STATE UNIVERSITY,839,12,5,2023,PA,UNIVERSITY PARK,98.6,851,0.986,THE PENNSYLVANIA STATE UNIVERSITY,"Assistant Research Professor, Assistant Professor, Postdoctoral Scholar, Assistant Teaching Professor,  Assistant Professor",74448.0,55.0,Data & Research
TWITTER INC,1279,30,5,2023,CA,SAN FRANCISCO,98.6,1309,0.977,,,,,
AMERICAN AIRLINES INC,1175,28,5,2023,TX,FORT WORTH,98.6,1203,0.977,,,,,
VALUEMOMENTUM INC,1069,25,5,2023,NJ,PISCATAWAY,98.6,1094,0.977,,,,,
EMC CORPORATION,1381,34,5,2023,TX,ROUND ROCK,98.6,1415,0.976,EMC CORPORATION,"Software Senior Engineer, Software Engineer, Software Senior Principal Engineer, Consultant, Principal Engineer, Technical Support",141398.0,103.0,Software & IT
WAYMO LLC,752,6,5,2023,CA,MOUNTAIN VIEW,98.5,758,0.992,WAYMO LLC,"Software Engineer, Product Manager, Systems Analyst, Data Scientist, Systems Engineer",220000.0,37.0,Software & IT
NUTANIX INC,902,19,5,2023,CA,SAN JOSE,98.5,921,0.979,,,,,
PALO ALTO NETWORKS INC,1595,41,5,2023,CA,SANTA CLARA,98.5,1636,0.975,,,,,
GILEAD SCIENCES INC,725,5,5,2023,CA,FOSTER CITY,98.5,730,0.993,,,,,
DELL USA L P,894,18,5,2023,TX,ROUND ROCK,98.5,912,0.98,,,,,
UNIVERSITY OF PITTSBURGH,1027,27,5,2023,PA,PITTSBURGH,98.5,1054,0.974,UNIVERSITY OF PITTSBURGH,"Postdoctoral Associate, Assistant Professor, Research Scientist, Research Instructor, Visiting Lecturer",65000.0,85.0,Data & Research
AMAZON WEB SERVICES INC,9854,265,5,2023,WA,SEATTLE,98.4,10119,0.974,,,,,
APPLIED MATERIALS INC,1660,45,5,2023,CA,SANTA CLARA,98.4,1705,0.974,,,,,
UNIVERSITY OF SOUTHERN CALIFORNIA,782,10,5,2023,CA,LOS ANGELES,98.4,792,0.987,,,,,
STRIPE INC,854,16,5,2023,CA,SAN FRANCISCO,98.4,870,0.982,,,,,
SAMSUNG ELECTRONICS AMERICA INC,739,7,5,2023,NJ,RIDGEFIELD PARK,98.4,746,0.991,,,,,
THERMO FISHER SCIENTIFIC INC,1108,30,5,2023,MA,WALTHAM,98.4,1138,0.974,,,,,
CAREMARK LLC,1530,45,5,2023,RI,WOONSOCKET,98.3,1575,0.971,CAREMARK LLC,"Data Engineer, Data Scientist, Mgr,Application Dev (Ic), Sr Mgr,Application Dev (Ic), Decision Scientist",136998.0,101.0,Software & IT
SNAP INC,1195,35,5,2023,CA,SANTA MONICA,98.3,1230,0.972,,,,,
NORDSTROM INC,868,18,5,2023,WA,SEATTLE,98.3,886,0.98,,,,,
APTIV CORPORATION,749,9,5,2023,MI,TROY,98.3,758,0.988,APTIV CORPORATION,"Software Engineer, Systems Engineer, Associate, Strategy, Functional Owner - Algorithm Systems Eng, Vehicle System Data Scripting Engineer ",105000.0,27.0,Engineering
CISCO SYSTEMS INC,7917,234,5,2023,CA,SAN JOSE,98.3,8151,0.971,,,,,
UNIVERSITY OF MARYLAND,1114,35,5,2023,MD,BALTIMORE,98.2,1149,0.97,UNIVERSITY OF MARYLAND,Research Scientist,101816.0,1.0,Data & Research
UBER TECHNOLOGIES INC,3902,121,5,2023,CA,SAN FRANCISCO,98.2,4023,0.97,,,,,
ADOBE INC,2189,69,5,2023,CA,SAN JOSE,98.2,2258,0.969,,,,,
FEDEX CORPORATE SERVICES INC,1378,43,5,2023,TN,COLLIERVILLE,98.2,1421,0.97,,,,,
MINDTREE LIMITED,4930,152,5,2023,NJ,WARREN,98.2,5082,0.97,,,,,
FISERV SOLUTIONS LLC,1354,45,5,2023,WI,BROOKFIELD,98.1,1399,0.968,,,,,
INTEL CORPORATION,9848,321,5,2023,AZ,CHANDLER,98.1,10169,0.968,INTEL CORPORATION,"Component Design Engineer, Software Engineer, Process Engineer, Packaging Engineer, Engineering Manager",120328.0,381.0,Engineering
CITIZENS FINANCIAL GROUP INC,795,16,5,2023,RI,JOHNSTON,98.1,811,0.98,,,,,
EMORY UNIVERSITY,747,12,5,2023,GA,ATLANTA,98.1,759,0.984,EMORY UNIVERSITY,"Research Scientist, Assistant Professor, Postdoctoral Fellow, Medical House Staff - Fellow , Assistant Research Professor",71000.0,60.0,Data & Research
THE DEVEREUX FOUNDATION,940,29,5,2023,PA,RUTLAND,98.1,969,0.97,THE DEVEREUX FOUNDATION,"Direct Care Professional, Program Manager, Case Coordinator (Rehabilitation Counsel, Board Certified Behavior Analyst (Bcba), Teacher",39083.0,47.0,Other
SONY INTERACTIVE ENTERTAINMENT LLC,732,10,5,2023,CA,SAN MATEO,98.1,742,0.987,SONY INTERACTIVE ENTERTAINMENT LLC,"Software Engineer, ML Engineer, Program Manager, Data Scientist, Sr. Iam Engineer",144984.0,40.0,Software & IT
SPLUNK INC,836,19,5,2023,CA,SAN FRANCISCO,98.1,855,0.978,,,,,
ECLINICALWORKS LLC,795,15,5,2023,MA,WESTBOROUGH,98.1,810,0.981,ECLINICALWORKS LLC,"Data Engineer, Project Manager, Technical Support Analyst, Sr. Business Intelligence Analyst, Team Lead- Rcm Product Management",97234.0,28.0,Software & IT
UNIVERSITY OF WASHINGTON,682,6,5,2023,WA,SEATTLE,98.1,688,0.991,UNIVERSITY OF WASHINGTON,"Postdoctoral Scholar, Acting Instructor, Teaching Professor, Acting Assistant Professor, Assistant Professor Without Tenure",74064.0,26.0,Data & Research
TRANSUNION LLC,769,13,5,2023,IL,CHICAGO,98.1,782,0.983,TRANSUNION LLC,"Senior Analyst, Manager, Advisor, Lead Engineer, Lead Developer",102690.0,37.0,Software & IT
NETAPP INC,875,24,5,2023,CA,SUNNYVALE,98.0,899,0.973,,,,,
LAM RESEARCH CORPORATION,756,13,5,2023,CA,FREMONT,98.0,769,0.983,LAM RESEARCH CORPORATION,"Product Engineer, Process Engineer, Mechanical Engineer, Software Engineer, Process Engineer ",133245.0,41.0,Engineering
INDIANA UNIVERSITY,746,13,5,2023,IN,BLOOMINGTON,98.0,759,0.983,INDIANA UNIVERSITY,"Assistant Professor, Software Engineer, Associate Professor, Associate Scientist, Postdoctoral Fellow",71158.0,32.0,Education
CITICORP CREDIT SERVICES INC USA,688,8,5,2023,NY,NEW YORK,98.0,696,0.989,,,,,
THE VANGUARD GROUP,637,4,5,2023,PA,MALVERN,98.0,641,0.994,THE VANGUARD GROUP,"Application Engineer Iii, Data Analyst, Solutions Architect, Technical Scrum Master, Cloud Engineer",139378.0,12.0,Software & IT
HONEYWELL INTERNATIONAL INC,752,13,5,2023,NC,CHARLOTTE,98.0,765,0.983,,,,,
UNIVERSITY OF CALIFORNIA SAN DIEGO,722,11,5,2023,CA,LA JOLLA,98.0,733,0.985,,,,,
SAP LABS LLC,720,10,5,2023,PA,NEWTOWN SQUARE,98.0,730,0.986,,,,,
OATH HOLDINGS INC,2098,73,5,2023,CA,SUNNYVALE,98.0,2171,0.966,,,,,
BATTELLE MEMORIAL INSTITUTE,657,6,5,2023,WA,RICHLAND,98.0,663,0.991,BATTELLE MEMORIAL INSTITUTE,"Electrical Engineer, Post Doctorate Research Associate (Chemi, Computer Scientist, Building Energy Modeling Engineer (Energ, Post Doctorate Research Associate (Mecha",102500.0,28.0,Engineering
UT HEALTH SCIENCE CENTER,631,5,5,2023,TN,MEMPHIS,97.9,636,0.992,,,,,
AUDIBLE INC,680,9,5,2023,NJ,NEWARK,97.9,689,0.987,,,,,
UT BATTELLE LLC ORNL,860,25,5,2023,TN,OAK RIDGE,97.9,885,0.972,,,,,
THE OHIO STATE UNIVERSITY,691,10,5,2023,OH,COLUMBUS,97.9,701,0.986,THE OHIO STATE UNIVERSITY,"Assistant Professor, Research Scientist, Post Doctoral Scholar, Researcher 2, Physician",73750.0,58.0,Data & Research
