employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
MICRO SYSTEMS ENGINEERING INC,22,0,4,2022,OR,LAKE OSWEGO,83.3,22,1.0,,,,,
POSTMATES INC,77,2,3,2021,CA,SAN FRANCISCO,83.3,79,0.975,,,,,
ALBA SERVICES INC,9,0,5,2023,NY,NEW YORK,83.3,9,1.0,,,,,
PROLIM GLOBAL CORPORATION,34,3,5,2023,MI,FARMINGTON,83.3,37,0.919,PROLIM GLOBAL CORPORATION,"Software Engineer, Senior .Net Developer",112500.0,2.0,Software & IT
FRONTLINE COMMUNITY SERVICES INC,20,1,5,2023,MD,BELTSVILLE,83.3,21,0.952,,,,,
CENTRAK INC,34,3,5,2023,PA,NEWTOWN,83.3,37,0.919,,,,,
RELIASTAR LIFE INSURANCE COMPANY,9,0,5,2023,NY,NEW YORK,83.3,9,1.0,,,,,
SMULE INC,22,0,4,2022,CA,SAN FRANCISCO,83.3,22,1.0,,,,,
FORMLABS INC,52,3,4,2022,MA,SOMERVILLE,83.3,55,0.945,,,,,
MPARTICLE INC,9,0,5,2023,NY,NEW YORK,83.3,9,1.0,,,,,
ALBERTSON S LLC,20,1,5,2023,CA,PLEASANTON,83.3,21,0.952,,,,,
TECHSWITCH LLC,22,0,4,2023,MI,FARMINGTON,83.3,22,1.0,TECHSWITCH LLC,"Software Engineer, Project Engineer",93600.0,3.0,Software & IT
PEPPERDINE UNIVERSITY,22,0,4,2023,CA,MALIBU,83.3,22,1.0,PEPPERDINE UNIVERSITY,"Manager Of Data And Analytics, Seaver Co, Senior Lead Erp Developer, Manager Of Research And Analytics, Systems Analyst, Instructor Of Teaching Of Hispanic Studi",70002.0,5.0,Software & IT
SG GAMING INC,104,5,3,2023,NV,LAS VEGAS,83.3,109,0.954,,,,,
COMPUGRA SYSTEMS INC,20,1,5,2023,NJ,SOMERSET,83.3,21,0.952,COMPUGRA SYSTEMS INC,Java Developer ,93250.0,1.0,Software & IT
MULTNOMAH COUNTY,9,0,5,2023,OR,PORTLAND,83.3,9,1.0,,,,,
CDATASYSTEMS INC,20,1,5,2023,NJ,EAST WINDSOR,83.3,21,0.952,,,,,
MORRISON & FOERSTER LLP,44,2,4,2023,CA,SAN FRANCISCO,83.3,46,0.957,MORRISON & FOERSTER LLP,"Attorney, Scientific Analyst, Director Of Public Relations",170000.0,7.0,Legal
ARNOLD & PORTER KAYE SCHOLER LLP,22,0,4,2023,DC,WASHINGTON,83.3,22,1.0,ARNOLD & PORTER KAYE SCHOLER LLP,Associate,295000.0,1.0,Legal
AMCOR RIGID PACKAGING USA LLC,22,0,4,2023,MI,ANN ARBOR,83.3,22,1.0,,,,,
THE CLOROX SERVICES COMPANY,51,0,3,2023,CA,OAKLAND,83.3,51,1.0,THE CLOROX SERVICES COMPANY,Solutions Architect,181813.0,1.0,Software & IT
CALIFORNIA AIR RESOURCES BOARD,22,0,4,2022,CA,SACRAMENTO,83.3,22,1.0,CALIFORNIA AIR RESOURCES BOARD,Air Pollution Specialist,104604.0,1.0,Data & Research
NEEVSYS INC,9,0,5,2023,VA,OAKTON,83.3,9,1.0,,,,,
YIPIT LLC,34,1,4,2023,NY,NEW YORK,83.3,35,0.971,,,,,
KEANE SOFT INC,90,15,5,2023,NJ,MONROE,83.3,105,0.857,,,,,
NEPHROLOGY ASSOCIATES INC,9,0,5,2023,RI,EAST PROVIDENCE,83.3,9,1.0,,,,,
BAUER ASSOCIATES INC,9,0,5,2023,MI,PLYMOUTH,83.3,9,1.0,,,,,
DENSO MANUFACTURING MICHIGAN INC,9,0,5,2023,MI,BATTLE CREEK,83.3,9,1.0,,,,,
ARPU RESEARCH LABS LLC,20,1,5,2023,CA,SAN FRANCISCO,83.3,21,0.952,,,,,
NJR SERVICE CORPORATION,9,0,5,2023,NJ,WALL,83.3,9,1.0,NJR SERVICE CORPORATION,Devops Application Developer,95000.0,1.0,Software & IT
HEARTFLOW INC,34,3,5,2023,TX,AUSTIN,83.3,37,0.919,,,,,
QUALITAS INFOTECH INC,34,3,5,2023,NJ,PRINCETON JUNCTION,83.3,37,0.919,QUALITAS INFOTECH INC,"DevOps Engineer, Oracle Pl/Sql Developer",95950.0,2.0,Software & IT
UNIQUE KEY RESOURCES INC,60,8,5,2023,TN,COLLIERVILLE,83.3,68,0.882,UNIQUE KEY RESOURCES INC,"Software Engineer, Qa Automation Tester, Senior Java Developer, Business Analyst",96100.0,8.0,Software & IT
NETSEC PROFESSIONALS CORPORATION,73,6,4,2023,NJ,MANVILLE,83.3,79,0.924,NETSEC PROFESSIONALS CORPORATION,"Software (Cloud/Devops) Engineer, Software (Azure Infrastructure) Engineer, Software Engineer",103000.0,3.0,Software & IT
FETCH ROBOTICS INC,22,0,4,2022,CA,SAN JOSE,83.3,22,1.0,,,,,
SYNDIGO LLC,22,0,4,2023,IL,CHICAGO,83.3,22,1.0,SYNDIGO LLC,"Senior Data Integration Engineer, ML Engineer",113400.0,2.0,Software & IT
DECORMATTERS INC,9,0,5,2023,CA,MILPITAS,83.3,9,1.0,,,,,
NBBJ LLC,9,0,5,2023,OH,COLUMBUS,83.3,9,1.0,,,,,
NBA PROPERTIES INC,20,1,5,2023,NJ,SECAUCUS,83.3,21,0.952,,,,,
WESTBRIDGE CAPITAL US ADVISORS LLC,9,0,5,2023,CA,SAN MATEO,83.3,9,1.0,,,,,
CLINICAS DEL CAMINO REAL INC,22,0,4,2022,CA,CAMARILLO,83.3,22,1.0,,,,,
SMARTEK21 LLC,34,1,4,2023,WA,KIRKLAND,83.3,35,0.971,,,,,
SAF HOLLAND INC,9,0,5,2023,MI,MUSKEGON,83.3,9,1.0,,,,,
SENSIENT TECHNOLOGIES CORPORATION,9,0,5,2023,WI,MILWAUKEE,83.3,9,1.0,,,,,
GAIN THEORY LLC,9,0,5,2023,NY,NEW YORK,83.3,9,1.0,,,,,
WITRICITY CORPORATION,9,0,5,2023,MA,WATERTOWN,83.3,9,1.0,,,,,
CAPE ANALYTICS INC,9,0,5,2023,CA,MOUNTAIN VIEW,83.3,9,1.0,,,,,
IFM INVESTORS US LLC,22,0,4,2022,NY,NEW YORK,83.3,22,1.0,,,,,
UNIVERSAL PROCESSING LLC,34,3,5,2023,NY,NEW YORK,83.3,37,0.919,,,,,
GREENBERG DENTAL & ORTHODONTICS PA,9,0,5,2023,FL,ALTAMONTE SPRINGS,83.3,9,1.0,,,,,
AGENUS INC,20,1,5,2023,MA,LEXINGTON,83.3,21,0.952,,,,,
SEQIRUS INC,22,0,4,2023,NC,HOLLY SPRINGS,83.3,22,1.0,,,,,
SUNRISE PHARMACEUTICAL INC,9,0,5,2023,NJ,RAHWAY,83.3,9,1.0,,,,,
PFISTER ENERGY INC,9,0,5,2023,NJ,HAWTHORNE,83.3,9,1.0,,,,,
EXPERIAN HEALTH INC,20,1,5,2023,CA,COSTA MESA,83.3,21,0.952,,,,,
AUTOMANN INC DBA AUTOMANN USA,22,0,4,2023,NJ,SOMERSET,83.3,22,1.0,,,,,
CONTRACT PHARMACAL CORP,20,1,5,2023,NY,HAUPPAUGE,83.3,21,0.952,CONTRACT PHARMACAL CORP,Validation Engineer,89675.0,2.0,Engineering
ZEROEX INC,9,0,5,2023,CA,SAN FRANCISCO,83.3,9,1.0,,,,,
DYTEK SOLUTIONS LLC,34,3,5,2023,AZ,PHOENIX,83.3,37,0.919,DYTEK SOLUTIONS LLC,Software Engineer,102294.0,1.0,Software & IT
NPV STAFFING LLC,60,8,5,2023,NY,WILLIAMSVILLE,83.3,68,0.882,NPV STAFFING LLC,Cloud Engineer,74880.0,1.0,Software & IT
ETHICON ENDO SURGERY INC,22,0,4,2023,NJ,NEW BRUNSWICK,83.3,22,1.0,,,,,
BIOBRIDGE GLOBAL,9,0,5,2023,TX,SAN ANTONIO,83.3,9,1.0,BIOBRIDGE GLOBAL,"Manager, Financial Planning And Analysis",106000.0,1.0,Finance & Business
STRATEGY SOFT LLC,40,4,5,2023,NJ,METUCHEN,83.3,44,0.909,STRATEGY SOFT LLC,"Sr. Systems Engineer, Systems Engineer, Programmer Analyst, Senior Programmer Analyst",102000.0,4.0,Software & IT
BERKELEY RESEARCH GROUP LLC,20,1,5,2023,CA,EMERYVILLE,83.3,21,0.952,,,,,
EDUCATION DEVELOPMENT CENTER INC,22,0,4,2022,MA,WALTHAM,83.3,22,1.0,,,,,
INVICRO LLC,9,0,5,2023,MA,BOSTON,83.3,9,1.0,,,,,
NTT GLOBAL NETWORKS INCORPORATED,34,1,4,2022,CO,GREENWOOD VILLAGE,83.3,35,0.971,,,,,
SKYLINE CABINETRY INC,9,0,5,2023,TX,DALLAS,83.3,9,1.0,,,,,
BHRIGUS INC,113,21,5,2023,MI,FARMINGTON,83.3,134,0.843,,,,,
LAMPS PLUS INC,9,0,5,2023,CA,CHATSWORTH,83.3,9,1.0,,,,,
SPRAYING SYSTEMS CO,9,0,5,2023,IL,GLENDALE HEIGHTS,83.3,9,1.0,,,,,
JOHN LABIB STRUCTURAL ENGINEERS LL,22,0,4,2022,CA,EL SEGUNDO,83.3,22,1.0,,,,,
ACCESSO LLC,9,0,5,2023,FL,LAKE MARY,83.3,9,1.0,,,,,
JUN ZHOU CPA LTD,9,0,5,2023,IL,CHICAGO,83.3,9,1.0,,,,,
JOHN BEAN TECHNOLOGIES CORPORATION,20,1,5,2023,IL,CHICAGO,83.3,21,0.952,JOHN BEAN TECHNOLOGIES CORPORATION,Software Engineer,101608.0,1.0,Software & IT
CLARIOS LLC,44,2,4,2023,WI,MILWAUKEE,83.3,46,0.957,,,,,
EDDA TECHNOLOGY INC,9,0,5,2023,NJ,PRINCETON,83.3,9,1.0,,,,,
UNITED STATES COLD STORAGE INC,9,0,5,2023,NJ,CAMDEN,83.3,9,1.0,,,,,
NP CORPORATE SERVICES LLC,9,0,5,2023,CA,SAN DIEGO,83.3,9,1.0,NP CORPORATE SERVICES LLC,Sr. Corporate Accounting Manager,120000.0,1.0,Finance & Business
SIMPLAIN SOFTWARE SOLUTIONS LLC,20,1,5,2023,CA,WALNUT,83.3,21,0.952,SIMPLAIN SOFTWARE SOLUTIONS LLC,Software Engineer,115000.0,1.0,Software & IT
ECHONOUS INC,9,0,5,2023,WA,REDMOND,83.3,9,1.0,,,,,
ST VINCENT CHARITY MEDICAL CENTER,34,1,4,2022,OH,CLEVELAND,83.3,35,0.971,,,,,
KRISH INFO TECH INC,20,1,5,2023,PA,CORAOPOLIS,83.3,21,0.952,,,,,
FINDEM INC,9,0,5,2023,CA,REDWOOD CITY,83.3,9,1.0,,,,,
TOPNOTCH TECHNOLOGY SERVICES INC,22,0,4,2023,NJ,PISCATAWAY,83.3,22,1.0,,,,,
ELITE BUSINESS CONSULTING LLC,9,0,5,2023,VA,HERNDON,83.3,9,1.0,,,,,
ESSENTIUM INC,9,0,5,2023,TX,PFLUGERVILLE,83.3,9,1.0,,,,,
ESSILOR OF AMERICA INC,34,1,4,2023,TX,DALLAS,83.3,35,0.971,,,,,
RAPID RATINGS INTERNATIONAL INC,9,0,5,2023,NY,NEW YORK,83.3,9,1.0,,,,,
PHOEBE PHYSICIAN GROUP INC,22,0,4,2023,GA,ALBANY,83.3,22,1.0,,,,,
MINTH NORTH AMERICA INC,20,1,5,2023,MI,WIXOM,83.3,21,0.952,MINTH NORTH AMERICA INC,"Manufacturing Engineer, Manufacturing Material Engineer",87079.0,2.0,Engineering
SUTHRA TECHNOLOGIES INC,34,3,5,2023,NJ,VOORHEES,83.3,37,0.919,,,,,
BLOCPOWER LLC,9,0,5,2023,NY,BROOKLYN,83.3,9,1.0,,,,,
PLATFORM9 SYSTEMS INC,22,0,4,2022,CA,MOUNTAIN VIEW,83.3,22,1.0,,,,,
MATHEMATICA INC,34,1,4,2023,NJ,PRINCETON,83.3,35,0.971,,,,,
NORTHSTAR TECHNOLOGIES INC,40,4,5,2023,GA,ALPHARETTA,83.3,44,0.909,,,,,
BLOSSOM SOLUTIONS INC,20,1,5,2023,MD,ELLICOTT CITY,83.3,21,0.952,,,,,
ALPHATEC SPINE INC,9,0,5,2023,CA,CARLSBAD,83.3,9,1.0,,,,,
MERCK SHARP & DOHME CORP,158,3,2,2021,NJ,KENILWORTH,83.3,161,0.981,,,,,
ELIX INC,20,1,5,2023,MI,TROY,83.3,21,0.952,,,,,
ELEMENT FLEET CORPORATION,9,0,5,2023,MD,SPARKS GLENCOE,83.3,9,1.0,,,,,
STREAMSETS INC,20,1,5,2023,CA,SAN FRANCISCO,83.3,21,0.952,,,,,
NUVEEN SERVICES LLC,20,1,5,2023,IL,CHICAGO,83.3,21,0.952,,,,,
DSYS INC,34,3,5,2023,GA,ALPHARETTA,83.3,37,0.919,,,,,
RED POINT POSITIONING CORPORATION,9,0,5,2023,MA,BOSTON,83.3,9,1.0,,,,,
BOARDWALKTECH INC,9,0,5,2023,CA,CUPERTINO,83.3,9,1.0,,,,,
COLLEGIUM PHARMACEUTICAL INC,9,0,5,2023,MA,STOUGHTON,83.3,9,1.0,,,,,
DRIVE SYSTEM DESIGN INC,9,0,5,2023,MI,FARMINGTON HILLS,83.3,9,1.0,,,,,
FINISAR CORPORATION,34,1,4,2023,CA,SUNNYVALE,83.3,35,0.971,,,,,
STANDARD COGNITION CORP,20,1,5,2023,CA,SAN FRANCISCO,83.3,21,0.952,,,,,
MEADVILLE MEDICAL CENTER,9,0,5,2023,PA,MEADVILLE,83.3,9,1.0,MEADVILLE MEDICAL CENTER,Cardiologist,450000.0,1.0,Healthcare
ROTH COMPANY LLP,21,0,4,2023,NY,BROOKLYN,83.2,21,1.0,,,,,
WARBURG PINCUS LLC,21,0,4,2022,NY,NEW YORK,83.2,21,1.0,,,,,
CONTINUUS PHARMACEUTICALS INC,21,0,4,2023,MA,WOBURN,83.2,21,1.0,,,,,
SL AMERICA CORPORATION,21,0,4,2022,TN,CLINTON,83.2,21,1.0,,,,,
ADMERA HEALTH LLC,21,0,4,2022,NJ,SOUTH PLAINFIELD,83.2,21,1.0,,,,,
EDF RENEWABLES INC,27,2,5,2023,CA,SAN DIEGO,83.2,29,0.931,,,,,
IFINITE SOLUTIONS LLC,27,2,5,2023,NJ,PARSIPPANY,83.2,29,0.931,IFINITE SOLUTIONS LLC,Software Engineer,101500.0,2.0,Software & IT
OM TEK INC,77,12,5,2023,TX,IRVING,83.2,89,0.865,OM TEK INC,Business Analyst,78478.0,2.0,Software & IT
SULLIVAN & CROMWELL LLP,49,0,3,2022,NY,NEW YORK,83.2,49,1.0,SULLIVAN & CROMWELL LLP,"Associate, Associate ",215000.0,6.0,Legal
INFONEX TECHNOLOGIES INC,21,0,4,2022,CA,SANTA CLARA,83.2,21,1.0,INFONEX TECHNOLOGIES INC,Data Management Specialist,85165.0,2.0,Software & IT
NESTLE REGIONAL GLOBE OFFICE NORTH,90,9,4,2022,MO,SAINT LOUIS,83.2,99,0.909,,,,,
COX AUTOMOTIVE CORPORATE SERVICES LLC,167,4,2,2023,GA,ATLANTA,83.2,171,0.977,,,,,
SUNTECHPROS INC,45,5,5,2023,NC,MORRISVILLE,83.2,50,0.9,,,,,
GRIDX INC,21,0,4,2022,CA,MILPITAS,83.2,21,1.0,,,,,
WESTAT,21,0,4,2023,MD,ROCKVILLE,83.2,21,1.0,WESTAT,Statistician,92100.0,1.0,Software & IT
OPTUMINSIGHT INC,21,0,4,2023,MN,MINNETONKA,83.2,21,1.0,,,,,
DATAVISOR INC,45,5,5,2023,CA,MOUNTAIN VIEW,83.2,50,0.9,,,,,
PAUL WEISS RIFKIND WHARTON & GARRI,63,1,3,2022,NY,NEW YORK,83.2,64,0.984,,,,,
INFOSMART TECHNOLOGIES INC,112,21,5,2023,GA,SUWANEE,83.2,133,0.842,,,,,
KALEIDA HEALTH,27,2,5,2023,NY,BUFFALO,83.2,29,0.931,KALEIDA HEALTH,Clinical Laboratory Scientist,77500.0,3.0,Healthcare
LSU HEALTH SCIENCES CENTER AT SHRE,50,0,3,2022,LA,SHREVEPORT,83.2,50,1.0,,,,,
TALENTED IT INC,45,5,5,2023,IL,NAPERVILLE,83.2,50,0.9,,,,,
SANHUA INTERNATIONAL INC,21,0,4,2023,TX,HOUSTON,83.2,21,1.0,,,,,
PREH INC,21,0,4,2022,MI,NOVI,83.2,21,1.0,,,,,
AMTEX SYSTEMS INC,73,11,5,2023,NY,NEW YORK,83.2,84,0.869,,,,,
AUDACIOUS INQUIRY LLC,43,2,4,2022,MD,CATONSVILLE,83.2,45,0.956,,,,,
PARKVIEW HEALTH SYSTEM INC,50,0,3,2022,IN,FORT WAYNE,83.2,50,1.0,,,,,
SCHNEIDER ELECTRIC IT CORPORATION,21,0,4,2023,MA,BOSTON,83.2,21,1.0,SCHNEIDER ELECTRIC IT CORPORATION,Quality System Lead,100225.0,1.0,Engineering
MEIJER GREAT LAKES LIMITED PART,64,1,3,2022,MI,GRAND RAPIDS,83.2,65,0.985,,,,,
PROCTEK TEXAS INC,21,0,4,2022,TX,MIDLAND,83.2,21,1.0,,,,,
DCUBE SOLUTIONS INC,21,0,4,2023,NC,DURHAM,83.2,21,1.0,,,,,
UNIV OF MICHIGAN,398,11,1,2019,MI,ANN ARBOR,83.2,409,0.973,,,,,
ELECTRONICS FOR IMAGING INC,27,2,5,2023,CA,FREMONT,83.2,29,0.931,,,,,
PHELPS COUNTY REGIONAL MEDICAL CTR,21,0,4,2022,MO,ROLLA,83.2,21,1.0,,,,,
RICHEMONT NORTH AMERICA INC,21,0,4,2022,NY,NEW YORK,83.2,21,1.0,,,,,
SELENE FINANCE LP,21,0,4,2023,FL,COPPELL,83.2,21,1.0,,,,,
WRNS STUDIO,21,0,4,2022,CA,SAN FRANCISCO,83.2,21,1.0,WRNS STUDIO,"Designer, Solutions Architect",74000.0,2.0,Design & Media
BIRLASOFT CONSULTING INC,63,1,3,2023,NJ,EDISON,83.2,64,0.984,,,,,
CENTERVIEW PARTNERS LLC,21,0,4,2022,NY,NEW YORK,83.2,21,1.0,,,,,
CLEARY GOTTLIEB STEEN & HAMILTON L,49,0,3,2021,NY,NEW YORK,83.2,49,1.0,,,,,
CIBC WORLD MARKETS CORP,43,2,4,2022,NY,NEW YORK,83.2,45,0.956,,,,,
OPTIMUS RIDE INC,43,2,4,2022,MA,BOSTON,83.2,45,0.956,,,,,
OPPORTUNITY FINANCIAL LLC,21,0,4,2022,IL,CHICAGO,83.2,21,1.0,OPPORTUNITY FINANCIAL LLC,"Director Of Data Science And Advanced An, Data Scientist, Business Intelligence Senior Analyst, Software Engineer",125714.0,4.0,Software & IT
CHELSOFT SOLUTIONS CO,129,26,5,2023,KS,OLATHE,83.2,155,0.832,,,,,
RSA TECH GROUP LLC,51,3,4,2023,TX,PLANO,83.2,54,0.944,RSA TECH GROUP LLC,"QA Engineer, Software Engineer, Project Manager, Data Analyst, Data Scientist",85933.0,14.0,Software & IT
ENJOY TECHNOLOGY INC,21,0,4,2022,CA,PALO ALTO,83.2,21,1.0,,,,,
HAMILTON COLLEGE,21,0,4,2022,NY,CLINTON,83.2,21,1.0,,,,,
MASTECH DIGITAL RESOURCING INC A M,136,18,4,2022,PA,CORAOPOLIS,83.2,154,0.883,,,,,
TAKEDA DEVELOPMENT CENTER AMERICAS INC,131,1,2,2023,MA,LEXINGTON,83.2,132,0.992,,,,,
98POINT6 INC,21,0,4,2022,WA,SEATTLE,83.2,21,1.0,,,,,
QUANTLAB FINANCIAL LLC,21,0,4,2022,TX,HOUSTON,83.2,21,1.0,,,,,
MCI COMMUNICATIONS SERVICES LLC,50,0,3,2023,NJ,BASKING RIDGE,83.2,50,1.0,MCI COMMUNICATIONS SERVICES LLC,Staff Engr - Devops,173421.0,1.0,Software & IT
TP ICAP AMERICAS HOLDINGS INC,21,0,4,2023,NJ,JERSEY CITY,83.2,21,1.0,,,,,
VOLT MANAGEMENT CORP,119,23,5,2023,CA,ORANGE,83.2,142,0.838,,,,,
ICE DATA CONNECTIVITY & FEEDS INC,21,0,4,2023,GA,ATLANTA,83.2,21,1.0,,,,,
MCSS INC,21,0,4,2022,NJ,HOLMDEL,83.2,21,1.0,,,,,
OCTANE LENDING INC,27,2,5,2023,NY,NEW YORK,83.2,29,0.931,,,,,
CATHOLIC HEALTH SYSTEM INC,21,0,4,2023,NY,BUFFALO,83.2,21,1.0,,,,,
HMH HOSPITALS CORPORATION,50,0,3,2023,NJ,EDISON,83.2,50,1.0,HMH HOSPITALS CORPORATION,"Animal Technician Specialist, Drug Disco, Research Associate, Cdi",63007.0,2.0,Data & Research
NUCOR CORPORATION,21,0,4,2023,AR,BLYTHEVILLE,83.2,21,1.0,NUCOR CORPORATION,"Cold Mill Metallurgist, Cold Steel Metallurgist, Power Engineer, Group Technology Services Manager, Sap Etp Functional Analyst",118352.0,5.0,Engineering
MICROINFO INC,136,28,5,2023,TX,CARROLLTON,83.2,164,0.829,MICROINFO INC,"Software Engineer, Splunk Developer",100911.0,4.0,Software & IT
INFOVISION TECHNOLOGIES INC,21,0,4,2022,NJ,NORTH BRUNSWICK,83.2,21,1.0,,,,,
TRADESHIFT INC,21,0,4,2022,CA,SAN FRANCISCO,83.2,21,1.0,,,,,
EVALUESERVE INC,73,11,5,2023,NC,RALEIGH,83.2,84,0.869,,,,,
INFINEON TECHNOLOGIES LLC,21,0,4,2023,CA,EL SEGUNDO,83.2,21,1.0,INFINEON TECHNOLOGIES LLC,"Staff Applications Engineer, Senior Manager Business Demand Planning ",125952.0,2.0,Engineering
PRIMESOFT INC,73,11,5,2023,NJ,PISCATAWAY,83.2,84,0.869,,,,,
CENTROID SYSTEMS INC,21,0,4,2022,MI,TROY,83.2,21,1.0,,,,,
THE UNIVERSITY OF PHOENIX INC,63,1,3,2023,AZ,PHOENIX,83.2,64,0.984,,,,,
FRESENIUS MGT SVCS INC A FRESENIUS,21,0,4,2022,MA,WALTHAM,83.2,21,1.0,,,,,
AMP SOLUTIONS LLC,64,1,3,2023,NC,CHARLOTTE,83.2,65,0.985,AMP SOLUTIONS LLC,"Business Analyst, Validation Engineer",97167.0,2.0,Engineering
TECHNOLOGY SOLUTIONS PROVIDER INC,21,0,4,2022,VA,RESTON,83.2,21,1.0,,,,,
CUBIC TECHNOLOGIES LLC,84,8,4,2023,TX,IRVING,83.2,92,0.913,CUBIC TECHNOLOGIES LLC,"Java/Aws Fullstack, Java Developer, Technical Recruiter",102876.0,3.0,Software & IT
UNITED HOSPITAL CENTER INC,21,0,4,2022,WV,BRIDGEPORT,83.2,21,1.0,,,,,
MAVERICK FAMILY DENTAL PC DBA DR D,50,0,3,2022,MA,BOSTON,83.2,50,1.0,,,,,
VIGNA INC,81,13,5,2023,GA,ALPHARETTA,83.2,94,0.862,,,,,
EMHART TEKNOLOGIES LLC,21,0,4,2023,CT,NEW BRITAIN,83.2,21,1.0,,,,,
AR SOLUTIONS INC,55,7,5,2023,DE,CLAYMONT,83.2,62,0.887,,,,,
INTELIQUENT INC,21,0,4,2022,IL,CHICAGO,83.2,21,1.0,,,,,
GLOBAL SOFT SYSTEMS INC,50,6,5,2023,KS,OVERLAND PARK,83.2,56,0.893,,,,,
CEP AMERICA CALIFORNIA DBA VITUITY,21,0,4,2023,CA,EMERYVILLE,83.2,21,1.0,,,,,
GREYCELL LABS INC,27,2,5,2023,NJ,EDISON,83.2,29,0.931,GREYCELL LABS INC,"Software Engineer, Full Stack Engineer",93600.0,5.0,Software & IT
LAKES INTL LANGUAGE ACADEMY,50,0,3,2021,MN,FOREST LAKE,83.2,50,1.0,,,,,
DISNEY WORLDWIDE SERVICES INC,21,0,4,2023,CA,BURBANK,83.2,21,1.0,,,,,
SYNAPSE GROUP INC,21,0,4,2022,CT,STAMFORD,83.2,21,1.0,,,,,
UNIVERSITY OF NORTH CAROLINA AT CH,116,0,2,2021,NC,CHAPEL HILL,83.2,116,1.0,,,,,
TEKNEST INC,43,2,4,2022,MI,FARMINGTON HILLS,83.2,45,0.956,,,,,
ALLIANCE FOR SUSTAINABLE ENERGY LL,131,1,2,2022,CO,GOLDEN,83.2,132,0.992,,,,,
PACIFICORP,27,2,5,2023,OR,PORTLAND,83.2,29,0.931,PACIFICORP,Systems & Development Analyst 3,89710.0,1.0,Software & IT
MAGANTI IT RESOURCES LLC,104,19,5,2023,CT,NAUGATUCK,83.2,123,0.846,MAGANTI IT RESOURCES LLC,"Software Engineer, Business Analyst, Data Analytics Lead, Microsoft 365 Solutions Analyst, Program Manager",97760.0,10.0,Software & IT
RADISE INTERNATIONAL LC,21,0,4,2022,FL,WEST PALM BEACH,83.2,21,1.0,,,,,
PUBLIC STORAGE,27,2,5,2023,CA,GLENDALE,83.2,29,0.931,PUBLIC STORAGE,"Quality Assurance Manager, Sr Analyst, Web Data & Analytics",125500.0,2.0,Management
BORREGO SOLAR SYSTEMS INC,21,0,4,2022,MA,LOWELL,83.2,21,1.0,,,,,
SKILLGIGS INC,97,17,5,2023,TX,HOUSTON,83.2,114,0.851,,,,,
ATLAS AIR INC,21,0,4,2023,NY,PURCHASE,83.2,21,1.0,,,,,
CABOT CORPORATION,21,0,4,2022,MA,BOSTON,83.2,21,1.0,,,,,
WHATSAPP LLC,50,0,3,2023,CA,MENLO PARK,83.2,50,1.0,WHATSAPP LLC,Software Engineer,216669.0,1.0,Software & IT
ZYLOG SYSTEMS LTD DBA ZSL INC,101,11,4,2022,NJ,EDISON,83.2,112,0.902,ZYLOG SYSTEMS LTD DBA ZSL INC,"Programmer Analyst , Database Administrator, Programmer Analyst - Sap/Bo, Sr. Programmer Analyst ",85000.0,5.0,Software & IT
UNIV HOSPITALS CLEVELAND MED CTR,49,0,3,2022,OH,CLEVELAND,83.2,49,1.0,,,,,
NCS PEARSON INC,115,0,2,2020,MN,MINNEAPOLIS,83.2,115,1.0,,,,,
ITSPURS INC,85,3,3,2023,NJ,S PLAINFIELD,83.2,88,0.966,,,,,
ONCORRE INC,50,6,5,2023,NJ,BRIDGEWATER,83.2,56,0.893,,,,,
NEWMAN INTERNATIONAL ACADEMY,21,0,4,2023,TX,ARLINGTON,83.2,21,1.0,NEWMAN INTERNATIONAL ACADEMY,"Secondary Math Teacher, Secondary Science Teacher, Informational Technology Coordinator",55260.0,3.0,Education
IRIS INFOTECH INC,27,2,5,2023,FL,JACKSONVILLE,83.2,29,0.931,,,,,
TRIAD MATH & SCIENCE ACADEMY CO,21,0,4,2022,NC,GREENSBORO,83.2,21,1.0,,,,,
PARAM TECHNOLOGIES INC,55,7,5,2023,MN,MINNEAPOLIS,83.2,62,0.887,PARAM TECHNOLOGIES INC,"Full Stack Engineer, Data Engineer, Software (Java) Developer, Software (Rpa) Developer, Systems Engineer",90000.0,9.0,Software & IT
PRORSUM TECHNOLOGIES INC,50,6,5,2023,IL,ITASCA,83.2,56,0.893,,,,,
3D SYSTEMS INC,45,5,5,2023,SC,ROCK HILL,83.2,50,0.9,,,,,
GENIUS BUSINESS SOLUTIONS INC,50,6,5,2023,IL,MOLINE,83.2,56,0.893,,,,,
BLUE SAGE SOLUTIONS LLC,21,0,4,2023,NJ,ENGLEWOOD CLIFFS,83.2,21,1.0,,,,,
DISCOVERY ANALYTICS INC,27,2,5,2023,GA,ALPHARETTA,83.2,29,0.931,DISCOVERY ANALYTICS INC,"Software Engineer, Network Engineer",88000.0,6.0,Software & IT
GLOBAL INFOTECH SERVICES LLC,27,2,5,2023,FL,TAMPA,83.2,29,0.931,GLOBAL INFOTECH SERVICES LLC,"Software Engineer, Program Analyst, Systems Analyst",81850.0,4.0,Software & IT
ECLERX LLC,33,3,5,2023,NY,NEW YORK,83.1,36,0.917,ECLERX LLC,Kyc Analyst,110000.0,1.0,Finance & Business
