employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate
FEDEX TRADE NETWORKS TRANSPORT & B,32,2,4,2022,TN,MEMPHIS,81.3,34,0.941
MORE HEALTH INC,21,2,5,2023,CA,SAN MATEO,81.3,23,0.913
LEGO SYSTEMS INC,12,0,4,2023,CT,ENFIELD,81.3,12,1.0
INSPYRUS INC,12,0,4,2022,CA,REDWOOD CITY,81.3,12,1.0
NEXTUPLE INC,12,0,4,2023,MA,ANDOVER,81.3,12,1.0
INTRINSIC INNOVATION LLC,29,0,3,2023,CA,MOUNTAIN VIEW,81.3,29,1.0
WM BOLTHOUSE FARMS INC,12,0,4,2022,CA,BAKERSFIELD,81.3,12,1.0
CAMP4 THERAPEUTICS CORPORATION,12,0,4,2023,MA,CAMBRIDGE,81.3,12,1.0
USHUR INC,12,0,4,2023,CA,SANTA CLARA,81.3,12,1.0
SLICKDEALS LLC,12,0,4,2022,NV,LAS VEGAS,81.3,12,1.0
GENPHARM INTERNATIONAL LLC,12,0,4,2023,CA,REDWOOD CITY,81.3,12,1.0
HUNTON ANDREWS KURTH LLP,12,0,4,2022,VA,RICHMOND,81.3,12,1.0
PURDUE PHARMA LP,12,0,4,2023,CT,STAMFORD,81.3,12,1.0
RETAILCONVERGENCE.COM LP,12,0,4,2022,MA,BOSTON,81.3,12,1.0
DATAGUISE INC,21,2,5,2023,CA,FREMONT,81.3,23,0.913
SKYSOFT INC,21,2,5,2023,VA,MC LEAN,81.3,23,0.913
VISBY MEDICAL INC,12,0,4,2023,CA,SAN JOSE,81.3,12,1.0
SEQUOIA CAPITAL OPERATIONS LLC,12,0,4,2023,CA,MENLO PARK,81.3,12,1.0
CLOUDIQ TECHNOLOGIES INC,12,0,4,2023,WA,ISSAQUAH,81.3,12,1.0
AULTMAN HOSPITAL,12,0,4,2022,OH,CANTON,81.3,12,1.0
JOBVITE INC,12,0,4,2023,IN,INDIANAPOLIS,81.3,12,1.0
FEDERAL RESERVE BANK OF RICHMOND,12,0,4,2022,VA,RICHMOND,81.3,12,1.0
TANGOE INC,12,0,4,2022,IN,INDIANAPOLIS,81.3,12,1.0
LAS CRUCES PHYSICIAN PRACTICES LLC,12,0,4,2023,NM,LAS CRUCES,81.3,12,1.0
ARTECH LLC AKA ARTECH INFORMATION SYSTEMS LLC,94,2,2,2023,NJ,MORRISTOWN,81.3,96,0.979
SACROSANCTINFO LLC,32,2,4,2023,CA,FREMONT,81.3,34,0.941
ORSTED NORTH AMERICA INC,12,0,4,2023,MA,BOSTON,81.3,12,1.0
DREW UNIVERSITY,12,0,4,2022,NJ,MADISON,81.3,12,1.0
PURPOSE FINANCIAL INC,29,0,3,2023,SC,SPARTANBURG,81.3,29,1.0
PATIENTKEEPER INC,39,3,4,2022,MA,WALTHAM,81.3,42,0.929
SYMETRA LIFE INSURANCE COMPANY,12,0,4,2023,WA,BELLEVUE,81.3,12,1.0
BOFAML SECURITIES INC,309,14,1,2019,NC,CHARLOTTE,81.3,323,0.957
CHUGH LLP,32,2,4,2022,CA,CERRITOS,81.3,34,0.941
PRINCETON BLUE INC,12,0,4,2022,NJ,PRINCETON,81.3,12,1.0
DATASYS CONSULTING SOFTWARE INC,32,2,4,2023,NJ,PRINCETON,81.3,34,0.941
NAVINTA III INC,12,0,4,2022,FL,BOCA RATON,81.3,12,1.0
DIVIS SOLUTIONS INC,45,7,5,2023,OH,DUBLIN,81.3,52,0.865
SABIC INNOVATIVE PLASTICS US LLC,12,0,4,2022,TX,HOUSTON,81.3,12,1.0
QUALITY IT SOURCE LLC,21,2,5,2023,NJ,EAST BRUNSWICK,81.3,23,0.913
BUNGE NORTH AMERICA INC,12,0,4,2022,MO,CHESTERFIELD,81.3,12,1.0
TROR LLC,12,0,4,2023,TN,FRANKLIN,81.3,12,1.0
TRINAMIX,57,10,5,2023,CA,SAN JOSE,81.3,67,0.851
DELOITTE LLP,21,2,5,2023,PA,PHILADELPHIA,81.3,23,0.913
NEUSTAR INFORMATION SERVICES,45,4,4,2022,VA,STERLING,81.3,49,0.918
CREATIVE TEAM LLC,39,3,4,2023,TX,HOUSTON,81.3,42,0.929
LINGATECH INC,12,0,4,2022,PA,CAMP HILL,81.3,12,1.0
PROCEPT BIOROBOTICS CORPORATION,29,0,3,2023,CA,REDWOOD CITY,81.3,29,1.0
STATACORP LLC,12,0,4,2022,TX,COLLEGE STATION,81.3,12,1.0
MONTEFIORE INFORMATION TECH LLC,12,0,4,2022,NY,YONKERS,81.3,12,1.0
GROVE COLLABORATIVE INC,12,0,4,2022,CA,SAN FRANCISCO,81.3,12,1.0
PROCUREMENT ADVISORS LLC,41,6,5,2023,GA,ATLANTA,81.3,47,0.872
NETSMART TECHNOLOGIES INC,12,0,4,2023,KS,LEAWOOD,81.3,12,1.0
TRINITY HEALTH CORPORATION,12,0,4,2023,MI,LIVONIA,81.3,12,1.0
SHINETECK INC,57,10,5,2023,PA,MECHANICSBURG,81.3,67,0.851
SAGE SOFTWARE INC,21,2,5,2023,GA,ATLANTA,81.3,23,0.913
MARICOPA UNIFIED SCHOOL DISTRICT,32,2,4,2022,AZ,MARICOPA,81.3,34,0.941
TEZA TECHNOLOGIES LLC,12,0,4,2022,IL,CHICAGO,81.3,12,1.0
CRAVATH SWAINE MOORE LLP,29,0,3,2022,NY,NEW YORK,81.3,29,1.0
HOUSECANARY INC,12,0,4,2022,CA,SAN FRANCISCO,81.3,12,1.0
DELTEK INC,12,0,4,2022,VA,HERNDON,81.3,12,1.0
DELUXE MEDIA INC,12,0,4,2022,CA,BURBANK,81.3,12,1.0
STARK ASSOCIATES LLC,51,5,4,2023,NJ,PISCATAWAY,81.3,56,0.911
SOLNSOFT LLC DBA XCENTIUM,12,0,4,2023,CA,IRVINE,81.3,12,1.0
DIVERSIFIED SVC OPTIONS INC DBA GU,29,0,3,2022,FL,JACKSONVILLE,81.3,29,1.0
AEGON GLOBAL SERVICES LLC,12,0,4,2022,IA,CEDAR RAPIDS,81.3,12,1.0
CAMBRIDGE ASSOCIATES LLC,12,0,4,2023,MA,BOSTON,81.3,12,1.0
GALOIS INC,12,0,4,2022,OR,PORTLAND,81.3,12,1.0
SENSE LABS INC,12,0,4,2023,MA,CAMBRIDGE,81.3,12,1.0
IHEARTMEDIA MANAGEMENT SERVICES IN,42,1,3,2022,TX,SAN ANTONIO,81.3,43,0.977
AEROSEAL LLC,12,0,4,2022,OH,MIAMISBURG,81.3,12,1.0
JACOBS ASSOCIATES INC,12,0,4,2023,WA,SEATTLE,81.3,12,1.0
SUNPLUS DATA GROUP INC,32,2,4,2023,GA,LAWRENCEVILLE,81.3,34,0.941
WELKIN TECHNOLOGIES LLC,91,7,3,2023,GA,ALPHARETTA,81.3,98,0.929
IMAGINE COMMUNICATIONS CORP,12,0,4,2022,TX,PLANO,81.3,12,1.0
PACIFIC CYCLE INC,12,0,4,2022,WI,MADISON,81.3,12,1.0
ZACHRY CONSTRUCTION,12,0,4,2023,TX,SAN ANTONIO,81.3,12,1.0
SOOTHSAYER ANALYTICS LLC,41,6,5,2023,MI,LIVONIA,81.3,47,0.872
XCEL ENERGY SERVICES INC,12,0,4,2023,MN,MINNEAPOLIS,81.3,12,1.0
WELLNECITY LLC,12,0,4,2023,NC,WINSTON SALEM,81.3,12,1.0
GENALYTE INC,12,0,4,2022,CA,SAN DIEGO,81.3,12,1.0
DIGITAL BUILDING COMPONENTS LLC,12,0,4,2022,AZ,PHOENIX,81.3,12,1.0
NEATO ROBOTICS INC,21,2,5,2023,CA,SAN JOSE,81.3,23,0.913
MEDCOMPS CORPORATION,21,2,5,2023,IL,SPRINGFIELD,81.3,23,0.913
TEJ SOLUTIONS INC,21,2,5,2023,GA,ALPHARETTA,81.3,23,0.913
DEFINITIVE MEDIA CORP DBA THREAD,12,0,4,2023,CA,TUSTIN,81.3,12,1.0
PERSADO INC,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
BUBLUP INC,12,0,4,2022,VA,ARLINGTON,81.3,12,1.0
MERCURIA ENERGY AMERICA LLC,12,0,4,2023,TX,HOUSTON,81.3,12,1.0
BLUEGREEN VACATIONS CORPORATION,12,0,4,2023,FL,BOCA RATON,81.3,12,1.0
LANDDESIGN INC,12,0,4,2023,NC,CHARLOTTE,81.3,12,1.0
RAYVEN IT SOLUTIONS LLC,32,2,4,2023,NJ,EDISON,81.3,34,0.941
TERMINIX INTERNATIONAL COMPANY LP,29,0,3,2023,TN,MEMPHIS,81.3,29,1.0
GMTO CORPORATION,12,0,4,2023,CA,PASADENA,81.3,12,1.0
CATHEDRAL PLUMBING OF TEXAS LLC,12,0,4,2023,TX,CARROLLTON,81.3,12,1.0
GUO CONSULTING LLC,12,0,4,2023,NY,NEW YORK,81.3,12,1.0
NABIH YOUSSEF & ASSOCIATES,12,0,4,2023,CA,LOS ANGELES,81.3,12,1.0
SWIFTWIN SOLUTIONS INC,45,4,4,2022,NC,CHARLOTTE,81.3,49,0.918
NSK CORPORATION,12,0,4,2023,MI,ANN ARBOR,81.3,12,1.0
MANA PRODUCTS INC,12,0,4,2023,NY,LONG ISLAND CITY,81.3,12,1.0
WYATT TECHNOLOGY CORPORATION,12,0,4,2022,CA,GOLETA,81.3,12,1.0
WASHINGTON UNIV IN ST LOUIS,199,3,1,2020,MO,SAINT LOUIS,81.3,202,0.985
JR SIMPLOT COMPANY,12,0,4,2022,ID,BOISE,81.3,12,1.0
REAL INTENT INC,12,0,4,2022,CA,SUNNYVALE,81.3,12,1.0
ANU SOFTWARE CONSULTANTS INC,68,13,5,2023,MI,ANN ARBOR,81.3,81,0.84
TOOLSGROUP INC,12,0,4,2022,MA,BOSTON,81.3,12,1.0
ECS SOUTHEAST LLP,12,0,4,2023,VA,CHANTILLY,81.3,12,1.0
PCS RETIREMENT LLC,12,0,4,2023,PA,PHILADELPHIA,81.3,12,1.0
OLD MISSION CAPITAL LLC,12,0,4,2023,IL,CHICAGO,81.3,12,1.0
AVENTURE SYSTEMS LLC,32,2,4,2023,MI,ADA,81.3,34,0.941
JOYENT INC,12,0,4,2022,CA,SAN FRANCISCO,81.3,12,1.0
LUX RESEARCH INC,12,0,4,2022,MA,BOSTON,81.3,12,1.0
ALSBRIDGE INC,12,0,4,2022,CT,STAMFORD,81.3,12,1.0
LANDAUER INC,12,0,4,2022,IL,GLENWOOD,81.3,12,1.0
VASTIKA INC,185,54,5,2023,TX,IRVING,81.3,239,0.774
OPEN ROAD INTEGRATED MEDIA INC,12,0,4,2023,NY,NEW YORK,81.3,12,1.0
IRON MOUNTAIN INFORMATION MGT LLC,29,0,3,2022,MA,BOSTON,81.3,29,1.0
RECVUE INC,12,0,4,2023,CA,PALO ALTO,81.3,12,1.0
CLARIFAI INC,12,0,4,2022,DE,NEW YORK,81.3,12,1.0
KHAN ACADEMY INC,12,0,4,2022,CA,MOUNTAIN VIEW,81.3,12,1.0
O NEIL DIGITAL SOLUTIONS LLC,12,0,4,2023,CA,LOS ANGELES,81.3,12,1.0
JVR SYSTEMS INC,57,10,5,2023,TX,PLANO,81.3,67,0.851
PELLI CLARKE PELLI ARCHITECTS INC,12,0,4,2022,CT,NEW HAVEN,81.3,12,1.0
SATYA MARG SOLUTIONS INC,88,19,5,2023,NJ,ISELIN,81.3,107,0.822
ALBEMARLE CORPORATION,12,0,4,2023,NC,CHARLOTTE,81.3,12,1.0
GLOBETAX SERVICES INCORPORATED,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
ST LAWRENCE UNIVERSITY,12,0,4,2023,NY,CANTON,81.3,12,1.0
FULCRUM DIGITAL INC,51,5,4,2023,NJ,JERSEY CITY,81.3,56,0.911
TINUITI INC,12,0,4,2023,PA,PHILADELPHIA,81.3,12,1.0
HAPPIEST BABY INC,12,0,4,2022,CA,LOS ANGELES,81.3,12,1.0
TIPALTI INC,12,0,4,2022,CA,SAN MATEO,81.3,12,1.0
RECSOLU INC DBA YELLO,12,0,4,2023,IL,CHICAGO,81.3,12,1.0
KLD ENGINEERING PC,12,0,4,2022,NY,ISLANDIA,81.3,12,1.0
ARDOR IT SOLUTIONS INC,77,5,3,2023,NC,CHARLOTTE,81.3,82,0.939
TISTA SCIENCE AND TECHNOLOGY CORP,42,1,3,2022,MD,POTOMAC,81.3,43,0.977
COMPSYCH MANAGEMENT CORPORATION,12,0,4,2023,IL,CHICAGO,81.3,12,1.0
FOSSIL PARTNERS LP,12,0,4,2023,TX,RICHARDSON,81.3,12,1.0
SPRINGFIELD CLINIC,29,0,3,2022,IL,SPRINGFIELD,81.3,29,1.0
MOUNTAIN PARK HEALTH CENTER,12,0,4,2023,AZ,PHOENIX,81.3,12,1.0
CERIUM SYSTEMS INC,77,5,3,2021,CA,SANTA CLARA,81.3,82,0.939
BITGO INC,21,2,5,2023,CA,PALO ALTO,81.3,23,0.913
UNIV OF ALABAMA AT BIRMINGHAM,197,3,1,2019,AL,BIRMINGHAM,81.3,200,0.985
AICURE LLC,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
PCL CONSTRUCTION INC,12,0,4,2023,CO,DENVER,81.3,12,1.0
GEORGIA IT INC,12,0,4,2023,GA,ALPHARETTA,81.3,12,1.0
AUTO TECHLABS INC,12,0,4,2023,FL,FORT LAUDERDALE,81.3,12,1.0
QUAERA INSIGHTS LLC,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
CARIS MPI INC,12,0,4,2022,TX,IRVING,81.3,12,1.0
IVANTAGE GROUP INC,12,0,4,2022,MI,BRIGHTON,81.3,12,1.0
PUBLICIS HEALTH LLC,21,2,5,2023,NY,NEW YORK,81.3,23,0.913
ALERT LOGIC INC,12,0,4,2022,TX,HOUSTON,81.3,12,1.0
BLUE DANUBE SYSTEMS INC,12,0,4,2022,CA,SANTA CLARA,81.3,12,1.0
GOOD METHODS GLOBAL INC,21,2,5,2023,FL,KISSIMMEE,81.3,23,0.913
AURUM DATA SOLUTIONS INC ADSI,12,0,4,2023,CA,FREMONT,81.3,12,1.0
CARESTREAM HEALTH INC,12,0,4,2022,NY,ROCHESTER,81.3,12,1.0
STAFFBEE SOLUTIONS INC,32,2,4,2023,GA,ALPHARETTA,81.3,34,0.941
PRIME CONSULTING LLC,49,8,5,2023,NJ,EDISON,81.3,57,0.86
FAM CONSTRUCTION LLC,12,0,4,2022,VA,FAIRFAX,81.3,12,1.0
AUROLIFE PHARMA LLC,39,3,4,2023,NJ,DAYTON,81.3,42,0.929
GEONAMIC SYSTEMS INC,12,0,4,2022,GA,DULUTH,81.3,12,1.0
SYSERCO INC,12,0,4,2022,CA,FREMONT,81.3,12,1.0
INTECA IT SOLUTIONS LLC,52,2,3,2023,NC,CHARLOTTE,81.3,54,0.963
PERFUME CENTER OF AMERICA INC,12,0,4,2023,NY,RONKONKOMA,81.3,12,1.0
IVY LABS EDUCATION INC,12,0,4,2022,CT,NEW HAVEN,81.3,12,1.0
AURITAS LLC,21,2,5,2023,FL,SANFORD,81.3,23,0.913
AURIGO SOFTWARE TECHNOLOGIES INC,21,2,5,2023,TX,AUSTIN,81.3,23,0.913
DW MATRIX INC,68,13,5,2023,MA,WESTBOROUGH,81.3,81,0.84
FUTUREADVISOR INC,12,0,4,2022,DE,WILMINGTON,81.3,12,1.0
AGORA LAB INC,12,0,4,2023,CA,SANTA CLARA,81.3,12,1.0
CLEVER INC,12,0,4,2022,CA,SAN FRANCISCO,81.3,12,1.0
CRUNCHBASE INC,12,0,4,2022,CA,SAN FRANCISCO,81.3,12,1.0
GERSON LEHRMAN GROUP INC,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
KRYPT INC,21,2,5,2023,CA,SAN JOSE,81.3,23,0.913
RARITAN PHARMACEUTICALS INC,12,0,4,2022,NJ,EAST BRUNSWICK,81.3,12,1.0
EBAY PAYMENTS LLC,12,0,4,2023,CA,SAN JOSE,81.3,12,1.0
IPS GROUP INC,12,0,4,2022,CA,SAN DIEGO,81.3,12,1.0
DANIELI TARANIS LLC,12,0,4,2023,AL,CHELSEA,81.3,12,1.0
ROSE INTERNATIONAL INC,21,2,5,2023,MO,CHESTERFIELD,81.3,23,0.913
TELCOBUY COM LLC,12,0,4,2022,MO,MARYLAND HEIGHTS,81.3,12,1.0
BLUE APRON LLC,12,0,4,2022,NY,NEW YORK,81.3,12,1.0
CITADEL AMERICAS SERVICES LLC,105,3,2,2023,IL,CHICAGO,81.3,108,0.972
SEA TEL INC DBA COBHAM SATCOM,12,0,4,2022,CA,CONCORD,81.3,12,1.0
PHILIPS RS NORTH AMERICA LLC,42,1,3,2023,PA,MURRYSVILLE,81.3,43,0.977
DASSAULT FALCON JET CORP,12,0,4,2022,NJ,LITTLE FERRY,81.3,12,1.0
SAANSOL INC,57,10,5,2023,NJ,METUCHEN,81.3,67,0.851
TURNITIN LLC,12,0,4,2023,CA,OAKLAND,81.3,12,1.0
TURNING POINT GLOBAL SOLUTIONS,39,3,4,2022,MD,ROCKVILLE,81.3,42,0.929
BLOOMINGDALES COM LLC,12,0,4,2023,CA,DULUTH,81.3,12,1.0
MIREHAB PC,12,0,4,2022,MI,FARMINGTON,81.3,12,1.0
VISTRONIX LLC,12,0,4,2023,MD,BELTSVILLE,81.3,12,1.0
BLST OPERATING COMPANY LLC,29,0,3,2023,MN,EDEN PRAIRIE,81.3,29,1.0
FIDELIS SOFTWARE SOLUTIONS LLC,148,40,5,2023,TX,CEDAR PARK,81.2,188,0.787
TEK SPIKES LLC,64,12,5,2023,TX,DALLAS,81.2,76,0.842
GLOBAL INFOTECH INC,84,18,5,2023,IL,SCHAUMBURG,81.2,102,0.824
GRP SOLUTIONS INC,28,0,3,2023,VA,ASHBURN,81.2,28,1.0
HORIZON SYSTEMS INC,36,5,5,2023,VA,STERLING,81.2,41,0.878
TECHLIGENT SYSTEMS INC,67,13,5,2023,VA,VIENNA,81.2,80,0.838
COLLEGE OF WILLIAM AND MARY,51,2,3,2023,VA,WILLIAMSBURG,81.2,53,0.962
MASSACHUSETTS GENERAL HOSPITAL MGP,91,2,2,2021,MA,SOMERVILLE,81.2,93,0.978
KROLL BOND RATING AGENCY LLC,28,0,3,2023,NY,NEW YORK,81.2,28,1.0
BOOMI LP,79,1,2,2023,PA,WAYNE,81.2,80,0.988
CENTRAL CONNECTICUT STATE UNIV,28,0,3,2022,CT,NEW BRITAIN,81.2,28,1.0
DAYTON INDEPENDENT SCHOOL DISTRICT,36,5,5,2023,TX,DAYTON,81.2,41,0.878
SKYWALK GLOBAL LLC,36,5,5,2023,IA,DES MOINES,81.2,41,0.878
TRANSAMERICA LIFE INSURANCE CO,112,4,2,2020,IA,CEDAR RAPIDS,81.2,116,0.966
ABZOOBA INC,36,5,5,2023,CA,MILPITAS,81.2,41,0.878
R SYSTEMS INC,227,72,5,2023,CA,EL DORADO HILLS,81.2,299,0.759
SHARED TECHNOLOGY SERVICES GR INC,51,2,3,2022,MA,BOSTON,81.2,53,0.962
USA HEALTHCARE MGMT LLC,28,0,3,2021,AL,MOBILE,81.2,28,1.0
SAMSUNG AUSTIN SEMICONDUCTOR L L C,179,2,1,2019,TX,AUSTIN,81.2,181,0.989
WELLS FARGO BANK N A,114,11,3,2022,SD,SIOUX FALLS,81.2,125,0.912
CLS US SERVICES INC,28,0,3,2023,NY,NEW YORK,81.2,28,1.0
BAKER TILLY US LLP,41,1,3,2023,IL,CHICAGO,81.2,42,0.976
SASAKI ASSOCIATES INC,71,9,4,2022,MA,WATERTOWN,81.2,80,0.888
ONEMAIN GENERAL SERVICES CORPORATION,79,1,2,2023,IN,EVANSVILLE,81.2,80,0.988
DASSAULT SYSTEMES SOLIDWORKS CORP,28,0,3,2021,RI,WALTHAM,81.2,28,1.0
ZEALTECH INC,36,5,5,2023,CA,FREMONT,81.2,41,0.878
CYNGN INC,23,1,4,2023,CA,MENLO PARK,81.1,24,0.958
XCELO GROUP INC,31,2,4,2023,TX,MCKINNEY,81.1,33,0.939
MSN PHARMACEUTICALS INC,23,1,4,2022,NJ,PISCATAWAY,81.1,24,0.958
CATALINA MARKETING CORPORATION,40,1,3,2022,FL,SAINT PETERSBURG,81.1,41,0.976
ALLURE LABS INC,23,1,4,2022,CA,HAYWARD,81.1,24,0.958
ALTERYX INC,23,1,4,2023,CA,IRVINE,81.1,24,0.958
CELONIS INC,26,3,5,2023,NY,NEW YORK,81.1,29,0.897
ROCKSTAR SAN DIEGO INC,38,3,4,2022,CA,CARLSBAD,81.1,41,0.927
AMERICAN EXPRESS NATIONAL BANK,27,0,3,2022,NY,NEW YORK,81.1,27,1.0
FUSION TECHNOLOGIES EAST LLC,23,1,4,2022,OH,WESTERVILLE,81.1,24,0.958
THINKBYTE CONSULTING INC,23,1,4,2023,CA,SANTA CLARA,81.1,24,0.958
MAGNITE INC,27,0,3,2023,CA,LOS ANGELES,81.1,27,1.0
SHELBY COUNTY SCHOOLS,31,4,5,2023,TN,MEMPHIS,81.1,35,0.886
ADDEPTO IT SOLUTIONS LLC,106,17,4,2023,NC,CHARLOTTE,81.1,123,0.862
METROMILE INC,59,3,3,2021,CA,SAN FRANCISCO,81.1,62,0.952
EON LABS INC,23,1,4,2022,NJ,EAST HANOVER,81.1,24,0.958
INTERVAL INTERNATIONAL INC,23,1,4,2023,FL,MIAMI,81.1,24,0.958
STRIDE INC,40,1,3,2023,VA,HERNDON,81.1,41,0.976
PURDUE UNIV,178,2,1,2019,IN,WEST LAFAYETTE,81.1,180,0.989
KLEINFELDER INC,31,2,4,2023,CA,SAN DIEGO,81.1,33,0.939
CREEHAN & COMPANY CORPORATION,27,0,3,2021,MD,BOWIE,81.1,27,1.0
CHILDRENS PLACE SERVICES CO LLC,64,0,2,2021,NJ,SECAUCUS,81.1,64,1.0
FREEDOM DEBT RELIEF LLC,27,0,3,2023,CA,SAN MATEO,81.1,27,1.0
AKKEN INC,63,12,5,2023,NH,NASHUA,81.1,75,0.84
MANAGEMENT SCIENCE ASSOCIATES INC,26,3,5,2023,PA,PITTSBURGH,81.1,29,0.897
AKORN INC,64,0,2,2020,IL,LAKE FOREST,81.1,64,1.0
HULU LLC INDIRECT SUBSIDIARY OF THE WALT DISNEY COMPANY,64,0,2,2023,CA,SANTA MONICA,81.1,64,1.0
LABCORP DRUG DEVELOPMENT INC,64,0,2,2023,NJ,PRINCETON,81.1,64,1.0
AMEYA GLOBAL INC,102,24,5,2023,MI,FARMINGTON,81.1,126,0.81
DVR SOFTEK INC,44,7,5,2023,NJ,EDISON,81.1,51,0.863
WISETECH GLOBAL US INC,23,1,4,2022,IL,CHAPEL HILL,81.1,24,0.958
DYNPRO INC,38,3,4,2022,NC,RALEIGH,81.1,41,0.927
INFOTECH VALLEY INC,23,1,4,2022,PA,EASTON,81.1,24,0.958
ATMECS INC,31,4,5,2023,CA,SANTA CLARA,81.1,35,0.886
SCHOLAR IT SOLUTIONS INC,40,1,3,2023,GA,DULUTH,81.1,41,0.976
AUTOGRID SYSTEMS INC,23,1,4,2022,CA,REDWOOD CITY,81.1,24,0.958
LG ELECTRONICS USA INC,31,4,5,2023,IL,CLARKSVILLE,81.1,35,0.886
WAVEMAKER GLOBAL LLC,31,2,4,2022,NY,NEW YORK,81.1,33,0.939
DENOVO SYSTEMS INC,27,0,3,2023,OH,COLUMBUS,81.1,27,1.0
EXCELL INTERNATIONAL GROUP INC,23,1,4,2022,NJ,BRIDGEWATER,81.1,24,0.958
SAXON GLOBAL INC,128,33,5,2023,TX,IRVING,81.1,161,0.795
TRINITY MEDICAL CENTER,27,0,3,2023,IL,ROCK ISLAND,81.1,27,1.0
SAWTEST SOLUTION INC,31,4,5,2023,TX,RICHARDSON,81.1,35,0.886
TRINITY CONSULTING INC,40,6,5,2023,MI,FARMINGTON,81.1,46,0.87
ODIN PHARMACEUTICALS LLC,27,0,3,2022,NJ,SOMERSET,81.1,27,1.0
BAIN & COMPANY DC LLC,23,1,4,2022,DC,WASHINGTON,81.1,24,0.958
MAXPEP LLC,50,2,3,2023,GA,ALPHARETTA,81.1,52,0.962
SCIENTIA SYSTEMS LLC,26,3,5,2023,NH,NASHUA,81.1,29,0.897
LOGICGATE TECHNOLOGIES INC,38,3,4,2022,NJ,WEST WINDSOR,81.1,41,0.927
P3 TECHNOLOGIES INC,44,7,5,2023,TX,IRVING,81.1,51,0.863
SPACEWALK SYSTEMS INC,27,0,3,2023,MI,NOVI,81.1,27,1.0
GAR TECHNOLOGIES INC,26,3,5,2023,NJ,HAMILTON,81.1,29,0.897
THE AMERICAN CHEMICAL SOCIETY,26,3,5,2023,DC,WASHINGTON,81.1,29,0.897
GTECH LLC,23,1,4,2022,TX,COPPELL,81.1,24,0.958
DATAFACTZ LLC,27,0,3,2023,MI,NORTHVILLE,81.1,27,1.0
NEIMAN MARCUS GROUP,38,3,4,2022,TX,IRVING,81.1,41,0.927
TRANSACTION APPLICATIONS GROUP INC,23,1,4,2022,MA,CHARLESTOWN,81.1,24,0.958
JO ANN STORES SUPPORT CENTER INC,27,0,3,2023,OH,HUDSON,81.1,27,1.0
BOLD NORTH AMERICA LLC,23,1,4,2023,CA,SAN FRANCISCO,81.1,24,0.958
SOFTWARE ASSOCIATES INC,26,3,5,2023,MD,ELLICOTT CITY,81.1,29,0.897
VIMEO INC,27,0,3,2021,NY,NEW YORK,81.1,27,1.0
DEBEVOISE PLIMPTON LLP,27,0,3,2023,NY,NEW YORK,81.1,27,1.0
JINDAL TUBULAR USA LLC,31,2,4,2022,MS,BAY ST LOUIS,81.1,33,0.939
EZ SOLUTIONS INC,38,3,4,2022,NJ,EAST WINDSOR,81.1,41,0.927
PACIFICA CONSULTING SERVICES LLC,40,1,3,2023,MO,SAINT LOUIS,81.1,41,0.976
FLUXTEK SOLUTIONS INC,80,17,5,2023,TX,HOUSTON,81.1,97,0.825
MACHINE LEARNING TECHNOLOGIES LLC,23,1,4,2023,NE,DURANT,81.1,24,0.958
SRI SOFTWARE SOLUTIONS LLC,23,1,4,2023,TX,IRVING,81.1,24,0.958
ZF ACTIVE SAFETY AND ELECTRONICS,27,0,3,2022,MI,LIVONIA,81.1,27,1.0
THUNDERSOFT AMERICA CORPORATION,31,2,4,2023,CA,MILPITAS,81.1,33,0.939
RED CLAY CONSULTING,40,6,5,2023,GA,ATLANTA,81.1,46,0.87
SINOVISION INCORPORATED,26,3,5,2023,NY,NEW YORK,81.1,29,0.897
COMMUNITY MEDICAL CENTERS INC,23,1,4,2022,CA,STOCKTON,81.1,24,0.958
RAM SOFTWARE SOLUTIONS INC,23,1,4,2022,NJ,PARSIPPANY,81.1,24,0.958
FIUNEX INC,23,1,4,2023,NJ,EDISON,81.1,24,0.958
IPSOS MMA INC,31,4,5,2023,CT,NORWALK,81.1,35,0.886
MERCY HLTH ST VINCENT MED CTR LLC,27,0,3,2022,OH,TOLEDO,81.1,27,1.0
COLLABORATIVE SYSTEMS INC,26,3,5,2023,PA,KING OF PRUSSIA,81.1,29,0.897
FLORENCE UNIFIED SCHOOL DISTRICT 1,23,1,4,2023,AZ,FLORENCE,81.1,24,0.958
HONDA DEVELOPMENT & MFG OF AMERICA LLC,64,0,2,2023,OH,MARYSVILLE,81.1,64,1.0
COMANCHE COUNTY HOSPITAL AUTHORITY,27,0,3,2022,OK,LAWTON,81.1,27,1.0
RAYTHEON TECHNOLOGIES CORPORATION,27,0,3,2023,MA,WALTHAM,81.1,27,1.0
UNIV OF NORTHERN COLORADO,23,1,4,2022,CO,GREELEY,81.1,24,0.958
ACCOLITE DIGITAL LLC,27,0,3,2023,TX,ADDISON,81.1,27,1.0
COFORGE LIMITED FKA NIIT TECHNOLOGIES LIMITED,222,6,1,2022,NJ,PRINCETON,81.1,228,0.974
ACCELIRATE INC,26,3,5,2023,FL,SUNRISE,81.1,29,0.897
