employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate
JUNIPER NETWORKS US INC,316,3,5,2023,CA,SUNNYVALE,95.3,319,0.991
TATA ELXSI LIMITED,534,24,5,2023,CA,SANTA CLARA,95.3,558,0.957
NORTHEASTERN UNIVERSITY,406,11,5,2023,MA,BOSTON,95.3,417,0.974
CARNEGIE MELLON UNIVERSITY,416,12,5,2023,PA,PITTSBURGH,95.3,428,0.972
MICROCHIP TECHNOLOGY INC,438,14,5,2023,AZ,CHANDLER,95.3,452,0.969
WICHITA STATE UNIVERSITY,325,4,5,2023,KS,WICHITA,95.3,329,0.988
PERFICIENT INC,776,56,5,2023,MO,SAINT LOUIS,95.3,832,0.933
IBM CORPORATION,9924,845,5,2023,NC,DURHAM,95.3,10769,0.922
THE UNIVERSITY OF ARIZONA,379,9,5,2023,AZ,TUCSON,95.2,388,0.977
NATIONWIDE INSURANCE,319,4,5,2023,OH,COLUMBUS,95.2,323,0.988
NATIONAL INSTITUTES OF HEALTH/HHS,805,15,4,2022,MD,BETHESDA,95.2,820,0.982
CEPHEID,308,3,5,2023,CA,SUNNYVALE,95.2,311,0.99
GRUBHUB HOLDINGS INC,324,4,5,2023,IL,CHICAGO,95.2,328,0.988
BROAD INSTITUTE,346,6,5,2023,MA,CAMBRIDGE,95.2,352,0.983
T ROWE PRICE ASSOCIATES INC,335,5,5,2023,MD,OWINGS MILLS,95.2,340,0.985
CYPRESS SEMICONDUCTOR CORPORATION,305,3,5,2023,CA,SAN JOSE,95.2,308,0.99
JOHNSON CONTROLS INC,359,7,5,2023,WI,MILWAUKEE,95.2,366,0.981
EFICENS SYSTEMS LLC,809,17,4,2023,GA,SUWANEE,95.1,826,0.979
AMDOCS INC,414,13,5,2023,MO,CHESTERFIELD,95.1,427,0.97
LPL FINANCIAL LLC,298,3,5,2023,CA,SAN DIEGO,95.1,301,0.99
ZOOM VIDEO COMMUNICATIONS INC,337,6,5,2023,CA,SAN JOSE,95.1,343,0.983
EXPERIAN INFORMATION SOLUTIONS INC,335,6,5,2023,CA,COSTA MESA,95.1,341,0.982
TATA CONSULTANCY SVCS LTD,32731,2917,5,2023,MD,ROCKVILLE,95.1,35648,0.918
PROKARMA INC,1444,46,4,2022,NE,OMAHA,95.1,1490,0.969
GARMIN INTERNATIONAL INC,301,3,5,2023,KS,OLATHE,95.1,304,0.99
UNIVERSITY OF ROCHESTER,353,7,5,2023,NY,ROCHESTER,95.1,360,0.981
MCKINSEY COMPANY INC UNITED STATES,2296,75,4,2023,NY,NEW YORK,95.1,2371,0.968
ANCESTRY COM OPERATIONS INC,298,3,5,2023,UT,LEHI,95.1,301,0.99
CRUISE LLC,618,3,4,2023,CA,SAN FRANCISCO,95.0,621,0.995
VISTA APPLIED SOLUTIONS GROUP INC,415,14,5,2023,VA,HERNDON,95.0,429,0.967
THE SHERWIN WILLIAMS COMPANY,304,4,5,2023,OH,CLEVELAND,95.0,308,0.987
DELL MARKETING L P,342,7,5,2023,TX,ROUND ROCK,95.0,349,0.98
HP INC,529,27,5,2023,TX,SPRING,95.0,556,0.951
BILL COM,307,4,5,2023,CA,ALVISO,95.0,311,0.987
CENTENE MANAGEMENT COMPANY LLC,309,4,5,2023,MO,SAINT LOUIS,95.0,313,0.987
SUCCESSFACTORS INC,340,7,5,2023,PA,NEWTOWN SQUARE,95.0,347,0.98
WASHINGTON UNIVERSITY IN ST LOUIS,748,14,4,2023,MO,SAINT LOUIS,94.9,762,0.982
STAPLES INC,612,39,5,2023,MA,FRAMINGHAM,94.9,651,0.94
ZSCALER INC,313,5,5,2023,CA,SAN JOSE,94.9,318,0.984
CHANGE HEALTHCARE TECHNOLOGIES LLC,365,10,5,2023,GA,ALPHARETTA,94.9,375,0.973
AUBURN UNIVERSITY,270,2,5,2023,AL,AUBURN UNIVERSITY,94.9,272,0.993
COOLSOFT LLC,416,15,5,2023,KY,LOUISVILLE,94.9,431,0.965
MAXIM INTEGRATED PRODUCTS INC,332,7,5,2023,CA,SAN JOSE,94.9,339,0.979
BRILLIO LLC,1004,94,5,2023,CA,SANTA CLARA,94.9,1098,0.914
AVCO CONSULTING INC,1109,104,5,2023,MA,WORCESTER,94.9,1213,0.914
SYNAPSIS INC,785,64,5,2023,IL,SPRINGFIELD,94.9,849,0.925
TIKTOK INC,627,5,4,2023,CA,CULVER CITY,94.9,632,0.992
NAGARRO INC,787,64,5,2023,CA,SAN JOSE,94.9,851,0.925
HCA MANAGEMENT SERVICES LP,326,7,5,2023,TN,NASHVILLE,94.8,333,0.979
HARMONY PUBLIC SCHOOLS,358,10,5,2023,TX,HOUSTON,94.8,368,0.973
TWITCH INTERACTIVE INC,339,8,5,2023,WA,SEATTLE,94.8,347,0.977
DENVER PUBLIC SCHOOLS DISTRICT 1,264,2,5,2023,CO,DENVER,94.8,266,0.992
HOME DEPOT PRODUCT AUTHORITY LLC,776,18,4,2022,GA,ATLANTA,94.8,794,0.977
ATHENAHEALTH INC,316,6,5,2023,MA,WATERTOWN,94.8,322,0.981
ZIMMER INC,507,26,5,2023,IN,WARSAW,94.8,533,0.951
ARGO AI LLC,249,1,5,2023,PA,PITTSBURGH,94.8,250,0.996
ALLY BANK,281,3,5,2023,MI,DETROIT,94.8,284,0.989
SOUTHWEST AIRLINES CO,271,3,5,2023,TX,DALLAS,94.7,274,0.989
CASE WESTERN RESERVE UNIVERSITY,323,7,5,2023,OH,CLEVELAND,94.7,330,0.979
UNIVERSITY OF NEVADA RENO,319,7,5,2023,NV,RENO,94.7,326,0.979
PERSISTENT SYSTEMS INC,1186,116,5,2023,CA,SANTA CLARA,94.7,1302,0.911
HITACHI VANTARA LLC,706,13,4,2023,CA,SANTA CLARA,94.7,719,0.982
VERIZON CORP RESOURCES GROUP LLC,286,4,5,2023,NJ,BASKING RIDGE,94.7,290,0.986
ROCKWELL AUTOMATION INC,261,2,5,2023,WI,MILWAUKEE,94.7,263,0.992
NEW YORK LIFE INSURANCE COMPANY,276,3,5,2023,NY,NEW YORK,94.7,279,0.989
AURORA INNOVATION INC,272,3,5,2023,CA,PALO ALTO,94.7,275,0.989
TEMPLE UNIVERSITY,384,13,5,2023,PA,PHILADELPHIA,94.7,397,0.967
FLORIDA STATE UNIVERSITY,259,2,5,2023,FL,TALLAHASSEE,94.7,261,0.992
KLA CORPORATION,781,20,4,2023,CA,MILPITAS,94.7,801,0.975
PIONEER CONSULTING SERVICES LLC,1001,96,5,2023,NJ,PRINCETON,94.7,1097,0.912
SAGITEC SOLUTIONS LLC,347,10,5,2023,MN,SAINT PAUL,94.6,357,0.972
MCKESSON CORPORATION,525,30,5,2023,TX,IRVING,94.6,555,0.946
REI SYSTEMS INC,315,7,5,2023,VA,STERLING,94.6,322,0.978
ASTRAZENECA PHARMACEUTICALS LP,337,9,5,2023,MD,GAITHERSBURG,94.6,346,0.974
JEFFERIES LLC,290,5,5,2023,NY,NEW YORK,94.6,295,0.983
PROOFPOINT INC,254,2,5,2023,CA,SUNNYVALE,94.6,256,0.992
SWANKTEK INC,475,24,5,2023,NJ,NUTLEY,94.6,499,0.952
QUALTRICS LLC,281,4,5,2023,UT,PROVO,94.6,285,0.986
HUBSPOT INC,253,2,5,2023,MA,CAMBRIDGE,94.6,255,0.992
BROOKHAVEN NATIONAL LABORATORY,279,4,5,2023,NY,UPTON,94.6,283,0.986
ABBOTT LABORATORIES,362,12,5,2023,IL,ABBOTT PARK,94.5,374,0.968
LEXISNEXIS USA,286,5,5,2023,GA,ALPHARETTA,94.5,291,0.983
CYBERTHINK INC,547,34,5,2023,NJ,BRIDGEWATER,94.5,581,0.941
GENERAL ELECTRIC COMPANY,351,11,5,2023,NY,NISKAYUNA,94.5,362,0.97
BARCLAYS CAPITAL INC,382,14,5,2023,NY,NEW YORK,94.5,396,0.965
MEMORIAL SLOAN KETTERING CANCER CE,576,5,4,2022,NY,NEW YORK,94.5,581,0.991
UPSTART NETWORK INC,261,3,5,2023,CA,SAN MATEO,94.5,264,0.989
THE HUNTINGTON NATIONAL BANK,274,4,5,2023,OH,COLUMBUS,94.5,278,0.986
HDR ENGINEERING INC,319,8,5,2023,NE,OMAHA,94.5,327,0.976
UNIVERSITY OF CINCINNATI,306,7,5,2023,OH,CINCINNATI,94.5,313,0.978
BOX INC,349,11,5,2023,CA,REDWOOD CITY,94.5,360,0.969
WESTERN UNION LLC,328,9,5,2023,CO,DENVER,94.5,337,0.973
DEMATIC CORP,226,1,5,2023,MI,GRAND RAPIDS,94.4,227,0.996
IT AMERICA INC,462,24,5,2023,NJ,EDISON,94.4,486,0.951
MUTUAL OF OMAHA INSURANCE COMPANY,228,1,5,2023,NE,OMAHA,94.4,229,0.996
SOCIAL FINANCE INC,281,5,5,2023,MT,HELENA,94.4,286,0.983
COLLABORATE SOLUTIONS INC,976,100,5,2023,MA,SHREWSBURY,94.4,1076,0.907
GE HEALTHCARE IITS USA CORP,313,8,5,2023,CT,NORWALK,94.4,321,0.975
PRESBYTERIAN HEALTHCARE SERVICES,331,10,5,2023,NM,ALBUQUERQUE,94.4,341,0.971
ROCHESTER GENERAL HOSPITAL,212,0,5,2023,NY,ROCHESTER,94.4,212,1.0
PUBLIX SUPER MARKETS INC,226,1,5,2023,FL,LAKELAND,94.4,227,0.996
WAYNE STATE UNIVERSITY,279,5,5,2023,MI,DETROIT,94.4,284,0.982
CHICAGO MERCANTILE EXCHANGE INC,249,3,5,2023,IL,CHICAGO,94.3,252,0.988
CSC COVANSYS CORPORATION,741,66,5,2023,TX,PLANO,94.3,807,0.918
SYNCHRONY BANK,273,5,5,2023,CT,STAMFORD,94.3,278,0.982
ONETRUST LLC,261,4,5,2023,GA,ATLANTA,94.3,265,0.985
INOVALON INC,358,13,5,2023,MD,BOWIE,94.3,371,0.965
CHILDRENS HOSPITAL CORPORATION,536,4,4,2023,MA,BOSTON,94.3,540,0.993
HCL GLOBAL SYSTEMS INC,1739,184,5,2023,MI,FARMINGTON,94.3,1923,0.904
CIGNA HEALTH & LIFE INSURANCE CO,564,6,4,2022,CT,BLOOMFIELD,94.3,570,0.989
DIVERSANT LLC,922,96,5,2023,NJ,RED BANK,94.3,1018,0.906
GRANT THORNTON LLP,337,11,5,2023,IL,CHICAGO,94.3,348,0.968
ARROW ELECTRONICS INC,316,9,5,2023,CO,CENTENNIAL,94.3,325,0.972
THE TRUSTEES OF PRINCETON UNIV,517,3,4,2022,NJ,PRINCETON,94.3,520,0.994
AMERICAN EXPRESS COMPANY,388,16,5,2023,NY,NEW YORK,94.3,404,0.96
BLUE CROSS BLUE SHIELD OF MICHIGAN,266,5,5,2023,MI,DETROIT,94.2,271,0.982
NETSKOPE INC,277,6,5,2023,CA,SANTA CLARA,94.2,283,0.979
INFOGAIN CORPORATION,548,38,5,2023,CA,LOS GATOS,94.2,586,0.935
CONTINENTAL AUTOMOTIVE SYSTEMS INC,214,1,5,2023,MI,AUBURN HILLS,94.2,215,0.995
NURO INC,255,4,5,2023,CA,MOUNTAIN VIEW,94.2,259,0.985
NATERA INC,227,2,5,2023,CA,SAN CARLOS,94.2,229,0.991
TRADEWEB MARKETS LLC,198,0,5,2023,NJ,JERSEY CITY,94.2,198,1.0
